time,c_>_a.gravity_edge.0,c_>_a.gravity_edge.1
2026-03-19T22:53:10.706958,3,1
2026-03-19T22:53:10.710,3,1
2026-03-19T22:53:10.718333,3,1
2026-03-19T22:53:10.726666,3,1
2026-03-19T22:53:10.734999,3,1
2026-03-19T22:53:10.743332,3,1
2026-03-19T22:53:10.751665,3,1
2026-03-19T22:53:10.759998,3,1
2026-03-19T22:53:10.768331,3,1
2026-03-19T22:53:10.776664,3,1
2026-03-19T22:53:10.784997,3,1
2026-03-19T22:53:10.793330,3,1
2026-03-19T22:53:10.801663,3,1
2026-03-19T22:53:10.809996,3,1
2026-03-19T22:53:10.818329,3,1
2026-03-19T22:53:10.826662,3,1
2026-03-19T22:53:10.834995,3,1
2026-03-19T22:53:10.843328,3,1
2026-03-19T22:53:10.851661,3,1
2026-03-19T22:53:10.859994,3,1
2026-03-19T22:53:10.868327,3,1
2026-03-19T22:53:10.876660,3,1
2026-03-19T22:53:10.884993,3,1
2026-03-19T22:53:10.893326,3,1
2026-03-19T22:53:10.901659,3,1
2026-03-19T22:53:10.909992,3,1
2026-03-19T22:53:10.918325,3,1
2026-03-19T22:53:10.926658,3,1
2026-03-19T22:53:10.934991,3,1
2026-03-19T22:53:10.943324,3,1
2026-03-19T22:53:10.951657,3,1
2026-03-19T22:53:10.959990,3,1
2026-03-19T22:53:10.968323,3,1
2026-03-19T22:53:10.976656,3,1
2026-03-19T22:53:10.984989,3,1
2026-03-19T22:53:10.993322,3,1
2026-03-19T22:53:11.001655,3,1
2026-03-19T22:53:11.009988,3,1
2026-03-19T22:53:11.018321,3,1
2026-03-19T22:53:11.026654,3,1
2026-03-19T22:53:11.034987,3,1
2026-03-19T22:53:11.043320,3,1
2026-03-19T22:53:11.051653,3,1
2026-03-19T22:53:11.059986,3,1
2026-03-19T22:53:11.068319,3,1
2026-03-19T22:53:11.076652,3,1
2026-03-19T22:53:11.084985,3,1
2026-03-19T22:53:11.093318,3,1
2026-03-19T22:53:11.101651,3,1
2026-03-19T22:53:11.109984,3,1
2026-03-19T22:53:11.118317,3,1
2026-03-19T22:53:11.126650,3,1
2026-03-19T22:53:11.134983,3,1
2026-03-19T22:53:11.143316,3,1
2026-03-19T22:53:11.151649,3,1
2026-03-19T22:53:11.159982,3,1
2026-03-19T22:53:11.168315,3,1
2026-03-19T22:53:11.176648,3,1
2026-03-19T22:53:11.184981,3,1
2026-03-19T22:53:11.193314,3,1
2026-03-19T22:53:11.201647,3,1
2026-03-19T22:53:11.209980,3,1
2026-03-19T22:53:11.218313,3,1
2026-03-19T22:53:11.226646,3,1
2026-03-19T22:53:11.234979,3,1
2026-03-19T22:53:11.243312,3,1
2026-03-19T22:53:11.251645,3,1
2026-03-19T22:53:11.259978,3,1
2026-03-19T22:53:11.268311,3,1
2026-03-19T22:53:11.276644,3,1
2026-03-19T22:53:11.284977,3,1
2026-03-19T22:53:11.293310,3,1
2026-03-19T22:53:11.301643,3,1
2026-03-19T22:53:11.309976,3,1
2026-03-19T22:53:11.318309,3,1
2026-03-19T22:53:11.326642,3,1
2026-03-19T22:53:11.334975,3,1
2026-03-19T22:53:11.343308,3,1
2026-03-19T22:53:11.351641,3,1
2026-03-19T22:53:11.359974,3,1
2026-03-19T22:53:11.368307,3,1
2026-03-19T22:53:11.376640,3,1
2026-03-19T22:53:11.384973,3,1
2026-03-19T22:53:11.393306,3,1
2026-03-19T22:53:11.401639,3,1
2026-03-19T22:53:11.409972,3,1
2026-03-19T22:53:11.418305,3,1
2026-03-19T22:53:11.426638,3,1
2026-03-19T22:53:11.434971,3,1
2026-03-19T22:53:11.443304,3,1
2026-03-19T22:53:11.451637,3,1
2026-03-19T22:53:11.459970,3,1
2026-03-19T22:53:11.468303,3,1
2026-03-19T22:53:11.476636,3,1
2026-03-19T22:53:11.484969,3,1
2026-03-19T22:53:11.493302,3,1
2026-03-19T22:53:11.501635,3,1
2026-03-19T22:53:11.509968,3,1
2026-03-19T22:53:11.518301,3,1
2026-03-19T22:53:11.526634,3,1
2026-03-19T22:53:11.534967,3,1
