time,rocket.center_of_gravity
2026-08-21T00:30:43.226598,0.2
2026-08-21T00:30:43.244053,0.2
2026-08-21T00:30:43.252386,0.2
2026-08-21T00:30:43.260719,0.2
2026-08-21T00:30:43.269052,0.2
2026-08-21T00:30:43.277385,0.2
2026-08-21T00:30:43.285718,0.2
2026-08-21T00:30:43.294051,0.2
2026-08-21T00:30:43.302384,0.2
2026-08-21T00:30:43.310717,0.2
2026-08-21T00:30:43.319050,0.2
2026-08-21T00:30:43.327383,0.2
2026-08-21T00:30:43.335716,0.2
2026-08-21T00:30:43.344049,0.2
2026-08-21T00:30:43.352382,0.2
2026-08-21T00:30:43.360715,0.2
2026-08-21T00:30:43.369048,0.2
2026-08-21T00:30:43.377381,0.2
2026-08-21T00:30:43.385714,0.2
2026-08-21T00:30:43.394047,0.2
2026-08-21T00:30:43.402380,0.2
2026-08-21T00:30:43.410713,0.2
2026-08-21T00:30:43.419046,0.2
2026-08-21T00:30:43.427379,0.2
2026-08-21T00:30:43.435712,0.2
2026-08-21T00:30:43.444045,0.2
2026-08-21T00:30:43.452378,0.2
2026-08-21T00:30:43.460711,0.2
2026-08-21T00:30:43.469044,0.2
2026-08-21T00:30:43.477377,0.2
2026-08-21T00:30:43.485710,0.2
2026-08-21T00:30:43.494043,0.2
2026-08-21T00:30:43.502376,0.2
2026-08-21T00:30:43.510709,0.2
2026-08-21T00:30:43.519042,0.2
2026-08-21T00:30:43.527375,0.2
2026-08-21T00:30:43.535708,0.2
2026-08-21T00:30:43.544041,0.2
2026-08-21T00:30:43.552374,0.2
2026-08-21T00:30:43.560707,0.2
2026-08-21T00:30:43.569040,0.2
2026-08-21T00:30:43.577373,0.2
2026-08-21T00:30:43.585706,0.2
2026-08-21T00:30:43.594039,0.2
2026-08-21T00:30:43.602372,0.2
2026-08-21T00:30:43.610705,0.2
2026-08-21T00:30:43.619038,0.2
2026-08-21T00:30:43.627371,0.2
2026-08-21T00:30:43.635704,0.2
2026-08-21T00:30:43.644037,0.2
2026-08-21T00:30:43.652370,0.2
2026-08-21T00:30:43.660703,0.2
2026-08-21T00:30:43.669036,0.2
2026-08-21T00:30:43.677369,0.2
2026-08-21T00:30:43.685702,0.2
2026-08-21T00:30:43.694035,0.2
2026-08-21T00:30:43.702368,0.2
2026-08-21T00:30:43.710701,0.2
2026-08-21T00:30:43.719034,0.2
2026-08-21T00:30:43.727367,0.2
2026-08-21T00:30:43.735700,0.2
2026-08-21T00:30:43.744033,0.2
2026-08-21T00:30:43.752366,0.2
2026-08-21T00:30:43.760699,0.2
2026-08-21T00:30:43.769032,0.2
2026-08-21T00:30:43.777365,0.2
2026-08-21T00:30:43.785698,0.2
2026-08-21T00:30:43.794031,0.2
2026-08-21T00:30:43.802364,0.2
2026-08-21T00:30:43.810697,0.2
2026-08-21T00:30:43.819030,0.2
2026-08-21T00:30:43.827363,0.2
2026-08-21T00:30:43.835696,0.2
2026-08-21T00:30:43.844029,0.2
2026-08-21T00:30:43.852362,0.2
2026-08-21T00:30:43.860695,0.2
2026-08-21T00:30:43.869028,0.2
2026-08-21T00:30:43.877361,0.2
2026-08-21T00:30:43.885694,0.2
2026-08-21T00:30:43.894027,0.2
2026-08-21T00:30:43.902360,0.2
2026-08-21T00:30:43.910693,0.2
2026-08-21T00:30:43.919026,0.2
2026-08-21T00:30:43.927359,0.2
2026-08-21T00:30:43.935692,0.2
2026-08-21T00:30:43.944025,0.2
2026-08-21T00:30:43.952358,0.2
2026-08-21T00:30:43.960691,0.2
2026-08-21T00:30:43.969024,0.2
2026-08-21T00:30:43.977357,0.2
2026-08-21T00:30:43.985690,0.2
2026-08-21T00:30:43.994023,0.2
2026-08-21T00:30:44.002356,0.2
2026-08-21T00:30:44.010689,0.2
2026-08-21T00:30:44.019022,0.2
2026-08-21T00:30:44.027355,0.2
2026-08-21T00:30:44.035688,0.2
2026-08-21T00:30:44.044021,0.2
2026-08-21T00:30:44.052354,0.2
2026-08-21T00:30:44.060687,0.2
2026-08-21T00:30:44.069020,0.2
