time,drone.body_drag.x,drone.body_drag.y,drone.body_drag.z
2026-04-19T15:52:09.207169,0.0,0.0,0.0
2026-04-19T15:52:09.222981,7.719784743049187e-8,6.191273695194864e-10,0.0007556836817173534
2026-04-19T15:52:09.232980,1.3401164341311624e-6,3.1579837988915935e-9,0.0033521023321346527
2026-04-19T15:52:09.242979,6.5607702617873006e-6,-1.0973506593869477e-7,0.00763051812621208
2026-04-19T15:52:09.252978,0.00001934384095362259,-2.438940477523791e-7,0.01335409669085842
2026-04-19T15:52:09.262977,0.00004369921191067356,-2.146334425363943e-7,0.02025472558117523
2026-04-19T15:52:09.272976,0.00008363490957466249,-5.43548020176528e-7,0.02805983344095286
2026-04-19T15:52:09.282975,0.0001425325288012432,-1.0820584123314805e-6,0.036507123591825286
2026-04-19T15:52:09.292974,0.00022290180662684563,-1.582803494437065e-6,0.04535460091930692
2026-04-19T15:52:09.302973,0.00032656010624594747,-6.366158201533342e-7,0.054390705121398396
2026-04-19T15:52:09.312972,0.00045448009408596265,7.034758577799134e-7,0.06344165366929709
2026-04-19T15:52:09.322971,0.000606578561892094,7.267066814263214e-7,0.07235888078315966
2026-04-19T15:52:09.332970,0.0007831523892044914,-6.897439426999057e-7,0.08101349997804685
2026-04-19T15:52:09.342969,0.0009843585572189878,-9.292050395120353e-7,0.08931426291724606
2026-04-19T15:52:09.352968,0.0012089627188246696,7.8538439648196e-7,0.09718804850815876
2026-04-19T15:52:09.362967,0.001457043958031484,3.3128712392354417e-6,0.10458068146855837
2026-04-19T15:52:09.372966,0.0017279091474757542,5.624552976858834e-6,0.11146553851053688
2026-04-19T15:52:09.382965,0.002020763727802915,4.243255339794086e-6,0.11783602057981353
2026-04-19T15:52:09.392964,0.0023337871387477437,2.7662268245973465e-6,0.12368465739774774
2026-04-19T15:52:09.402963,0.0026640415250746637,4.369914032431005e-6,0.12900730270252792
2026-04-19T15:52:09.412962,0.003008670911136945,8.653554397618633e-6,0.13381872893215208
2026-04-19T15:52:09.422961,0.003367274645306302,0.000013443817161062798,0.13813065184414136
2026-04-19T15:52:09.432960,0.003738210681409886,0.000011965512149775553,0.14197111334839196
2026-04-19T15:52:09.442959,0.004119105899243314,7.627288878604028e-6,0.14535666710159553
2026-04-19T15:52:09.452958,0.004508098899606216,8.607686425619091e-6,0.14831576927284787
2026-04-19T15:52:09.462957,0.004905208228656321,0.000011912434043972254,0.1508690296802403
2026-04-19T15:52:09.472956,0.005309102915545528,0.000014758793026670099,0.15304587515734344
2026-04-19T15:52:09.482955,0.005718233189099865,0.000016201914074082497,0.15487865173338644
2026-04-19T15:52:09.492954,0.0061312187777080645,0.000013158319242126292,0.15639062184905034
2026-04-19T15:52:09.502953,0.006546220911094669,0.000011359841813028335,0.15760442963192453
2026-04-19T15:52:09.512952,0.006962869846240745,5.8741482709141554e-6,0.15853889242129163
2026-04-19T15:52:09.522951,0.007380693977811305,-3.7886536269420844e-6,0.15922238046578024
2026-04-19T15:52:09.532950,0.007799416157108628,-0.000013959152207813381,0.15967339273637587
2026-04-19T15:52:09.542949,0.00821975291583162,-0.000022484525993509165,0.1599131595646872
2026-04-19T15:52:09.546282,0.008359572195649083,-0.000025295525463993637,0.1599502280809782
