time,ctrl.control_state_0,ctrl.control_state_1,ctrl.control_state_2,ctrl.control_state_3
2026-05-06T20:26:46.083223,5.0,1.0,-0.5,0.0
2026-05-06T20:26:46.084623,3.36196,5.25,1.05,0.01
2026-05-06T20:26:46.092956,2.394713760400001,3.3719599999999996,5.26,0.02
2026-05-06T20:26:46.101289,1.8235645283785973,2.274978072380001,3.2033619999999994,0.03
2026-05-06T20:26:46.109622,1.4863066183622786,1.8335645283785973,2.284978072380001,0.04
2026-05-06T20:26:46.117955,1.2871591950767425,1.5606219492803926,1.9252427547975273,0.05
2026-05-06T20:26:46.126288,1.1695646331008662,1.3515171548305798,1.6386530467444123,0.060000000000000005
2026-05-06T20:26:46.134621,1.100126220199731,1.2280428647559096,1.4190930125721088,0.07
2026-05-06T20:26:46.142954,1.0591235317657395,1.1551325312097176,1.2894450079937052,0.08
2026-05-06T20:26:46.151287,1.0349118542723517,1.1120797083540266,1.2128891577702035,0.09
2026-05-06T20:26:46.159620,1.0206151008292812,1.0866574469859693,1.1676836937717279,0.09999999999999999
2026-05-06T20:26:46.167953,1.0121730108886826,1.0716458558707453,1.140990319335268,0.10999999999999999
2026-05-06T20:26:46.176286,1.0071880411996583,1.0627816614331167,1.1252281486642826,0.11999999999999998
2026-05-06T20:26:46.184619,1.0042444664479866,1.0575474432596412,1.1159207445047725,0.12999999999999998
2026-05-06T20:26:46.192952,1.002506314992872,1.054456689770386,1.1104248154226233,0.13999999999999999
2026-05-06T20:26:46.201285,1.0014799539401413,1.0526316307425156,1.1071795242589053,0.15
2026-05-06T20:26:46.209618,1.0008738980021143,1.0515539516371484,1.1052632122796415,0.16
2026-05-06T20:26:46.217951,1.0005160280312688,1.05091759290222,1.1041316492190059,0.17
2026-05-06T20:26:46.226284,1.0003047093921842,1.0505418294328324,1.1034634725473311,0.18000000000000002
2026-05-06T20:26:46.234617,1.0001799278489911,1.0503199448617935,1.103068920904474,0.19000000000000003
2026-05-06T20:26:46.242950,1.000106245595551,1.0501889242414408,1.1028359421048832,0.20000000000000004
2026-05-06T20:26:46.251283,1.0000627369617172,1.0501115578753286,1.102698370453513,0.21000000000000005
2026-05-06T20:26:46.259616,1.0000370455485246,1.0500658738098032,1.102617135769095,0.22000000000000006
2026-05-06T20:26:46.267949,1.0000218750259482,1.050038897825951,1.1025691675002933,0.23000000000000007
2026-05-06T20:26:46.276282,1.0000129169840721,1.0500229687772455,1.1025408427172485,0.24000000000000007
2026-05-06T20:26:46.284615,1.000007627349925,1.0500135628332758,1.1025241172161078,0.25000000000000006
2026-05-06T20:26:46.292948,1.0000045038738574,1.0500080087174213,1.1025142409749398,0.26000000000000006
2026-05-06T20:26:46.301281,1.0000026594924742,1.0500047290675503,1.1025084091532924,0.2700000000000001
2026-05-06T20:26:46.309614,1.0000015704037115,1.050002792467098,1.1025049655209278,0.2800000000000001
2026-05-06T20:26:46.317947,1.000000927307688,1.0500016489238972,1.102502932090453,0.2900000000000001
2026-05-06T20:26:46.326280,1.0000005475659168,1.0500009736730724,1.1025017313700922,0.3000000000000001
2026-05-06T20:26:46.334613,1.0000003233321986,1.0500005749442127,1.1025010223567262,0.3100000000000001
2026-05-06T20:26:46.342946,1.00000019092443,1.0500003394988084,1.1025006036914233,0.3200000000000001
2026-05-06T20:26:46.351279,1.000000112738967,1.0500002004706517,1.102500356473749,0.3300000000000001
2026-05-06T20:26:46.359612,1.0000000665712327,1.0500001183759156,1.1025002104941843,0.34000000000000014
2026-05-06T20:26:46.367945,1.0000000393096473,1.0500000698997944,1.1025001242947114,0.35000000000000014
2026-05-06T20:26:46.376278,1.000000023211954,1.0500000412751298,1.1025000733947843,0.36000000000000015
2026-05-06T20:26:46.384611,1.000000013706427,1.0500000243725516,1.1025000433388863,0.37000000000000016
2026-05-06T20:26:46.392944,1.0000000080935083,1.0500000143917485,1.1025000255911792,0.38000000000000017
2026-05-06T20:26:46.401277,1.000000004779136,1.0500000084981838,1.102500015111336,0.3900000000000002
2026-05-06T20:26:46.409610,1.0000000028220322,1.0500000050180929,1.102500008923093,0.4000000000000002
2026-05-06T20:26:46.417943,1.0000000016663821,1.0500000029631338,1.1025000052689975,0.4100000000000002
2026-05-06T20:26:46.426276,1.0000000009839822,1.0500000017497013,1.1025000031112906,0.4200000000000002
2026-05-06T20:26:46.434609,1.0000000005810321,1.0500000010331814,1.1025000018371864,0.4300000000000002
2026-05-06T20:26:46.442942,1.000000000343094,1.0500000006100838,1.1025000010848405,0.4400000000000002
2026-05-06T20:26:46.451275,1.0000000002025935,1.0500000003602488,1.102500000640588,0.45000000000000023
2026-05-06T20:26:46.459608,1.0000000001196296,1.0500000002127232,1.1025000003782612,0.46000000000000024
2026-05-06T20:26:46.467941,1.0000000000706402,1.0500000001256111,1.1025000002233594,0.47000000000000025
2026-05-06T20:26:46.476274,1.0000000000417124,1.0500000000741723,1.1025000001318916,0.48000000000000026
2026-05-06T20:26:46.484607,1.000000000024631,1.0500000000437981,1.1025000000778808,0.49000000000000027
2026-05-06T20:26:46.492940,1.0000000000145446,1.0500000000258625,1.1025000000459881,0.5000000000000002
2026-05-06T20:26:46.501273,1.0000000000085887,1.0500000000152718,1.1025000000271556,0.5100000000000002
2026-05-06T20:26:46.509606,1.0000000000050715,1.0500000000090182,1.1025000000160354,0.5200000000000002
2026-05-06T20:26:46.517939,1.000000000002995,1.0500000000053251,1.1025000000094691,0.5300000000000002
2026-05-06T20:26:46.526272,1.0000000000017686,1.0500000000031446,1.1025000000055913,0.5400000000000003
2026-05-06T20:26:46.534605,1.0000000000010447,1.050000000001857,1.1025000000033018,0.5500000000000003
2026-05-06T20:26:46.542938,1.000000000000617,1.050000000001097,1.1025000000019498,0.5600000000000003
2026-05-06T20:26:46.551271,1.0000000000003646,1.050000000000648,1.1025000000011518,0.5700000000000003
2026-05-06T20:26:46.559604,1.0000000000002154,1.0500000000003828,1.1025000000006804,0.5800000000000003
2026-05-06T20:26:46.567937,1.0000000000001275,1.0500000000002263,1.102500000000402,0.5900000000000003
2026-05-06T20:26:46.576270,1.0000000000000755,1.050000000000134,1.1025000000002376,0.6000000000000003
2026-05-06T20:26:46.584603,1.0000000000000449,1.0500000000000793,1.1025000000001406,0.6100000000000003
2026-05-06T20:26:46.592936,1.0000000000000266,1.0500000000000471,1.1025000000000833,0.6200000000000003
2026-05-06T20:26:46.601269,1.0000000000000158,1.050000000000028,1.1025000000000496,0.6300000000000003
2026-05-06T20:26:46.609602,1.0000000000000095,1.0500000000000167,1.1025000000000296,0.6400000000000003
2026-05-06T20:26:46.617935,1.0000000000000058,1.05000000000001,1.1025000000000176,0.6500000000000004
2026-05-06T20:26:46.626268,1.0000000000000036,1.050000000000006,1.1025000000000107,0.6600000000000004
2026-05-06T20:26:46.634601,1.0000000000000024,1.0500000000000038,1.1025000000000065,0.6700000000000004
2026-05-06T20:26:46.642934,1.0000000000000016,1.0500000000000027,1.102500000000004,0.6800000000000004
2026-05-06T20:26:46.651267,1.0000000000000016,1.0500000000000016,1.102500000000003,0.6900000000000004
2026-05-06T20:26:46.659600,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.7000000000000004
2026-05-06T20:26:46.667933,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.7100000000000004
2026-05-06T20:26:46.676266,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.7200000000000004
2026-05-06T20:26:46.684599,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.7300000000000004
2026-05-06T20:26:46.692932,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.7400000000000004
2026-05-06T20:26:46.701265,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.7500000000000004
2026-05-06T20:26:46.709598,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.7600000000000005
2026-05-06T20:26:46.717931,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.7700000000000005
2026-05-06T20:26:46.726264,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.7800000000000005
2026-05-06T20:26:46.734597,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.7900000000000005
2026-05-06T20:26:46.742930,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.8000000000000005
2026-05-06T20:26:46.751263,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.8100000000000005
2026-05-06T20:26:46.759596,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.8200000000000005
2026-05-06T20:26:46.767929,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.8300000000000005
2026-05-06T20:26:46.776262,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.8400000000000005
2026-05-06T20:26:46.784595,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.8500000000000005
2026-05-06T20:26:46.792928,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.8600000000000005
2026-05-06T20:26:46.801261,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.8700000000000006
2026-05-06T20:26:46.809594,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.8800000000000006
2026-05-06T20:26:46.817927,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.8900000000000006
2026-05-06T20:26:46.826260,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.9000000000000006
2026-05-06T20:26:46.834593,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.9100000000000006
2026-05-06T20:26:46.842926,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.9200000000000006
2026-05-06T20:26:46.851259,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.9300000000000006
2026-05-06T20:26:46.859592,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.9400000000000006
2026-05-06T20:26:46.867925,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.9500000000000006
2026-05-06T20:26:46.876258,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.9600000000000006
2026-05-06T20:26:46.884591,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.9700000000000006
2026-05-06T20:26:46.892924,1.0000000000000016,1.0500000000000016,1.1025000000000018,0.9800000000000006
