time,rw_1.rw_force.0,rw_1.rw_force.1,rw_1.rw_force.2,rw_1.rw_force.3,rw_1.rw_force.4,rw_1.rw_force.5
2026-04-15T20:03:16.468470,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.501921,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.510254,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.518587,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.526920,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.535253,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.543586,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.551919,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.560252,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.568585,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.576918,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.585251,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.593584,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.601917,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.610250,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.618583,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.626916,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.635249,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.643582,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.651915,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.660248,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.668581,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.676914,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.685247,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.693580,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.701913,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.710246,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.718579,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.726912,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.735245,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.743578,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.751911,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.760244,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.768577,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.776910,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.785243,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.793576,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.801909,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.810242,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.818575,-0.002,0.0,0.0,0.0,0.0,0.0
2026-04-15T20:03:16.826908,-0.002,0.0,0.0,0.0,0.0,0.0
